uid	name	rank	parent	description	last_modified	common_name	species_count	split1	short_description

276	Atypidae	family	Araneae	Atypidae, or purseweb spiders, are a family of mygalomorph spiders known for building silk tubes that run along the ground and up vegetation. They remain hidden inside the tube, lunging through the silk to capture prey walking nearby. Atypids have long spinnerets and robust bodies and are considered reclusive. Their unique web architecture and ambush strategy set them apart from other spiders. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	purseweb spiders	1	0	Atypidae, or purseweb spiders, are a family of mygalomorph spiders known for building silk tubes that run along the ground and up vegetation.

277	Australembiidae	family	Embioptera	Australembiidae is a small family of webspinners within the order Embioptera, found primarily in the Southern Hemisphere, including South America and parts of Oceania. Like other webspinners, they produce silk from their front legs to construct protective galleries. Members of this family are poorly known and rarely studied, but their behavior and silk use suggest similar ecology to better-known embiopterans. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	Webspinners	1	0	Australembiidae is a small family of webspinners within the order Embioptera, found primarily in the Southern Hemisphere, including South America and parts of Oceania.

278	Bairdiidae	family	Podocopida	Bairdiidae is a family of ostracods-small, bivalved crustaceans-found in marine and brackish environments worldwide. These organisms are typically benthic and inhabit sediment surfaces, where they feed on detritus and microorganisms. Their calcareous carapaces preserve well in sediment, making them valuable in paleoclimatic and stratigraphic studies. Members of Bairdiidae contribute to benthic food webs and sediment bioturbation. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	seed shrimp	1	0	Bairdiidae is a family of ostracods small, bivalved crustaceans.

279	Ballophilidae	family	Geophilomorpha	Ballophilidae is a family of soil-dwelling centipedes belonging to the order Geophilomorpha. They are elongated, with many leg-bearing segments, and lack eyes. Adapted to a subterranean lifestyle, they live in moist soil, under rocks, and within rotting wood. These centipedes are predators of small invertebrates, using venomous forcipules to subdue prey. Their cryptic habits and simplified morphology make them important subjects in studies of myriapod evolution. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	soil centipedes	1	0	Ballophilidae is a family of soil-dwelling centipedes belonging to the order Geophilomorpha.

280	Cyprididae	family	Podocopida	Cyprididae is a large family of freshwater ostracods, small bivalved crustaceans found in ponds, temporary pools, and wetlands worldwide. Many species produce drought-resistant eggs that allow survival in ephemeral habitats. They feed on detritus, algae, and microorganisms, playing a role in aquatic nutrient cycling. Cypridids are used in paleoecology and environmental monitoring due to their well-preserved carapaces in sedimentary records. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	ostracods	7	0	Cyprididae is a large family of freshwater ostracods, small bivalved crustaceans found in ponds, temporary pools, and wetlands worldwide.

281	Bibionidae	family	Diptera	Bibionidae, commonly known as March flies, are stout-bodied dipterans that typically emerge in early spring. Adults are often seen in mating swarms, while larvae develop in soil rich in decaying organic matter. They contribute to nutrient recycling and are ecologically important as decomposers and occasional pollinators.	2025-04-30 23:51:58	march flies	1	0	Bibionidae, commonly known as March flies, are stout-bodied dipterans that typically emerge in early spring.

282	Daesiidae	family	Solifugae	Daesiidae is a family of solifuges (camel spiders) primarily found in arid and semi-arid regions of Africa and Asia. These fast-moving arachnids are nocturnal hunters, using strong chelicerae to subdue prey such as insects and small vertebrates. They lack venom but rely on speed and strength. Their role includes regulating arthropod populations in dry ecosystems. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	camel spiders	2	0	Daesiidae is a family of solifuges (camel spiders) primarily found in arid and semi-arid regions of Africa and Asia.

283	Bittacidae	family	Mecoptera	Known as hangingflies, members of this family resemble crane flies but are predatory, using their elongated legs tipped with claws to snatch prey while hanging from vegetation. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	hangingflies	4	0	Known as hangingflies, members of this family resemble crane flies but are predatory, using their elongated legs tipped with claws to snatch prey while hanging from vegetation.

284	Blattidae	family	Blattodea	Blattidae is a family of cockroaches, including well-known pests such as the American cockroach. These cockroaches are large, nocturnal insects that prefer warm, moist environments. They are commonly found in human habitats and are known for their rapid reproduction and ability to thrive in unsanitary conditions. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	cockroaches	9	0	Blattidae is a family of cockroaches, including well-known pests such as the American cockroach.

285	Blattellidae	family	Blattodea	Blattellidae is a diverse family of cockroaches, including the German cockroach and other small to medium-sized species. Found in leaf litter, under bark, and in human dwellings, they are scavengers feeding on decaying organic matter. They exhibit rapid reproductive cycles, flattened bodies for crevice-living, and are ecologically important decomposers. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	wood cockroaches	1	0	Blattellidae is a diverse family of cockroaches, including the German cockroach and other small to medium-sized species.

286	Empusidae	family	Mantodea	Empusidae is a family of slender, elongated mantises adapted for life in dry grasslands and shrublands. They are ambush predators that rely on camouflage, often mimicking twigs or leaves. Their forelegs are raptorial, and some species have elaborate head crests. They feed on insects and help regulate arthropod populations. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	gargoyle mantises	2	0	Empusidae is a family of slender, elongated mantises adapted for life in dry grasslands and shrublands.

287	Blissidae	family	Hemiptera	Blissidae, known as chinch bugs, are small sap-feeding true bugs often found in grasslands, feeding primarily on grasses and cereals. They can become agricultural pests, causing yellowing and wilting in crops. Their piercing-sucking mouthparts allow them to extract plant fluids, and their populations thrive in warm, dry conditions. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	chinch bugs	1	0	Blissidae, known as chinch bugs, are small sap-feeding true bugs often found in grasslands, feeding primarily on grasses and cereals.

288	Bombycidae	family	Lepidoptera	Bombycidae is a family of moths that includes the domesticated silkworm, *Bombyx mori*. Native to Asia, these moths are associated with mulberry trees, on which their larvae feed. They exhibit complete metamorphosis and have significant economic importance in silk production. Adults are typically stout-bodied with muted wing patterns. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	silkworm moths	1	0	Bombycidae is a family of moths that includes the domesticated silkworm, *Bombyx mori*.

289	Boreidae	family	Mecoptera	Called snow scorpionflies, these are wingless or reduced-wing insects adapted to cold environments, often seen walking on snow in winter. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	snow scorpionflies	2	0	Called snow scorpionflies, these are wingless or reduced-wing insects adapted to cold environments, often seen walking on snow in winter.

290	Bourletiellidae	family	Symphypleona	Bourletiellidae is a family of minute springtails characterized by distinctive antennae and furcula used for jumping. They inhabit soil, moss, and leaf litter, where they consume fungi, algae, and decaying matter. Their ecological role includes soil aeration and decomposition, and they are commonly used in studies of soil health. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	springtails	1	0	Bourletiellidae is a family of minute springtails characterized by distinctive antennae and furcula used for jumping.

291	Andrognathidae	family	Platydesmida	Andrognathidae is a family of flat-backed millipedes found in moist forest leaf litter and under logs, primarily in temperate regions. These small, elongated millipedes have flattened segments and reduced paranota. They feed on decomposing plant material and fungi, playing a role in nutrient cycling and soil structure maintenance. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	Andrognathid Millipedes	1	0	Andrognathidae is a family of flat-backed millipedes found in moist forest leaf litter and under logs, primarily in temperate regions.

292	Branchinectidae	family	Anostraca	Branchinectidae is a family of fairy shrimp found in ephemeral freshwater habitats such as vernal pools and temporary ponds. These filter-feeding crustaceans swim upside down and feed on algae, bacteria, and detritus. They are important food sources for amphibians and birds and have drought-resistant eggs that remain dormant until conditions are favorable. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	fairy shrimp	17	0	Branchinectidae is a family of fairy shrimp found in ephemeral freshwater habitats such as vernal pools and temporary ponds.

293	Caenidae	family	Ephemeroptera	Caenidae is a family of small mayflies whose nymphs inhabit the fine sediments of slow-moving streams and rivers. They are burrowers that feed on detritus and algae, contributing to aquatic nutrient cycling. Adults are short-lived and non-feeding, primarily serving reproductive and prey roles in freshwater ecosystems. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	small squaregilled mayflies	1	0	Caenidae is a family of small mayflies whose nymphs inhabit the fine sediments of slow-moving streams and rivers.

294	Myrmecolacidae	family	Strepsiptera	A parasitic family of twisted-wing insects (Strepsiptera), exhibiting extreme sexual dimorphism, with males being free-living and females endoparasitic within ants or other hosts. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	ant-parasitic stylopids	2	0	A parasitic family of twisted-wing insects (Strepsiptera), exhibiting extreme sexual dimorphism, with males being free-living and females endoparasitic within ants or other hosts.

295	Calliphoridae	family	Diptera	Known as blow flies, this family includes metallic-colored flies important in forensic entomology and ecology due to their role in carrion decomposition. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	blow flies	2	0	Known as blow flies, this family includes metallic-colored flies important in forensic entomology and ecology due to their role in carrion decomposition.

296	Calopterygidae	family	Odonata	Calopterygidae, or broad-winged damselflies, are large, colorful insects commonly found near streams and rivers in temperate and tropical regions. Their aquatic larvae are predators of small invertebrates, while adults hunt flying insects. They are characterized by broad, often darkly pigmented wings and metallic body coloration. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	broad-winged damselflies	3	0	Calopterygidae, or broad-winged damselflies, are large, colorful insects commonly found near streams and rivers in temperate and tropical regions.

297	Pachybolidae	family	Spirobolida	Pachybolidae is a family of large, cylindrical millipedes found in tropical forests, especially in Africa and Southeast Asia. They are detritivores, feeding on decaying plant material, and are important contributors to soil formation. These millipedes exhibit strong segmental armor and coil defensively when threatened. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	round-backed millipedes	1	0	Pachybolidae is a family of large, cylindrical millipedes found in tropical forests, especially in Africa and Southeast Asia.

298	Chaerilidae	family	Scorpiones	A small family of primitive scorpions found in Southeast Asia, recognized by their robust pedipalps and ancient lineage characteristics. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	chaerilid scorpions	1	0	A small family of primitive scorpions found in Southeast Asia, recognized by their robust pedipalps and ancient lineage characteristics.

299	Vermipsyllidae	family	Siphonaptera	Vermipsyllidae is a family of parasitic fleas primarily found on carnivorous mammals such as foxes and wild canines. These ectoparasites inhabit temperate and boreal regions and feed on blood. They are adapted for jumping and have laterally compressed bodies for moving through fur. Their ecological role includes acting as vectors for parasites and disease. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	rodent fleas	1	0	Vermipsyllidae is a family of parasitic fleas primarily found on carnivorous mammals such as foxes and wild canines.

300	Chaoboridae	family	Diptera	Known as phantom midges, this family consists of aquatic insects with transparent larvae that are predators of small zooplankton in freshwater ecosystems. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	phantom midges	1	0	Known as phantom midges, this family consists of aquatic insects with transparent larvae that are predators of small zooplankton in freshwater ecosystems.

301	Charinidae	family	Amblypygi	Charinidae is a family of tailless whip scorpions, or amblypygids, found in tropical forests and caves. These nocturnal arachnids are harmless predators that use elongated, whip-like front legs for navigation and prey detection. They feed on small arthropods and exhibit cryptic behavior, often hiding under logs or stones during the day. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	tailless whip scorpions	6	0	Charinidae is a family of tailless whip scorpions, or amblypygids, found in tropical forests and caves.

302	Cheliferidae	family	Pseudoscorpiones	A large family of pseudoscorpions, notable for their absence of a tail and possession of pincer-like pedipalps used for capturing small arthropods. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	book scorpions	1	0	A large family of pseudoscorpions, notable for their absence of a tail and possession of pincer-like pedipalps used for capturing small arthropods.

303	Cheyletidae	family	Trombidiformes	Cheyletidae is a family of mites, many of which are free-living predators of other mites and small arthropods. Some species are parasitic, infesting mammals or birds. They are found in soil, litter, stored food, or on animal hosts. Their ecological importance includes pest control and involvement in decomposition processes. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	itch mites	1	0	Cheyletidae is a family of mites, many of which are free-living predators of other mites and small arthropods.

304	Spirobolidae	family	Spirobolida	Spirobolidae is a family of robust, cylindrical millipedes found in tropical and subtropical forests, especially in the Americas. These detritivores feed on decaying vegetation and contribute to soil formation and nutrient cycling. They are slow-moving, heavily armored, and exhibit coiling behavior as a defense mechanism. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	round-backed millipedes	3	0	Spirobolidae is a family of robust, cylindrical millipedes found in tropical and subtropical forests, especially in the Americas.

305	Cicindelinae	family	Coleoptera	A subfamily of tiger beetles famous for their metallic coloration, aggressive predatory behavior, and incredible speed, often found in sandy or open habitats. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	tiger beetles	1	0	A subfamily of tiger beetles famous for their metallic coloration, aggressive predatory behavior, and incredible speed, often found in sandy or open habitats.

306	Diapheromeridae	family	Phasmatodea	Diapheromeridae includes walking stick insects characterized by extreme body elongation and cryptic coloration that mimics twigs. Found in forests and woodlands, they are herbivorous and primarily nocturnal. Their ecological role includes foliage consumption and serving as prey for birds and reptiles. Some species reproduce via parthenogenesis. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	walkingsticks	1	0	Diapheromeridae includes walking stick insects characterized by extreme body elongation and cryptic coloration that mimics twigs.

307	Cordulegastridae	family	Odonata	Cordulegastridae, or spiketails, are large dragonflies found near clean, fast-flowing forest streams in North America and Eurasia. Their aquatic larvae are burrowers and predators of other invertebrates, while adults feed on flying insects. They are recognized by their long abdomens with yellow and black markings and are indicators of high water quality. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	spiketail dragonflies	1	0	Cordulegastridae, or spiketails, are large dragonflies found near clean, fast-flowing forest streams in North America and Eurasia.

308	Craterostigmidae	family	Craterostigmomorpha	A small, ancient family of centipedes with only two known species, distinguished by their short bodies and confined to Tasmania and New Zealand. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	Centipedes	1	0	A small, ancient family of centipedes with only two known species, distinguished by their short bodies and confined to Tasmania and New Zealand.

309	Astacidae	family	Decapoda	Astacidae is a family of freshwater crayfish native to Europe and western North America. They inhabit cool, well-oxygenated rivers, lakes, and streams and are omnivorous, feeding on detritus, plants, and small animals. They contribute to aquatic ecosystem structure and are sensitive to pollution and habitat loss. Some species are commercially harvested. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	crayfishes	1	0	Astacidae is a family of freshwater crayfish native to Europe and western North America.

310	Cryptopidae	family	Scolopendromorpha	Cryptopidae is a family of blind centipedes adapted for life in soil, leaf litter, and subterranean habitats. These centipedes lack eyes and have elongated, flexible bodies with numerous segments. They are carnivorous, preying on insects and other small arthropods, and contribute to controlling soil invertebrate populations. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	blind centipedes	1	0	Cryptopidae is a family of blind centipedes adapted for life in soil, leaf litter, and subterranean habitats.

311	Cylisticidae	family	Isopoda	Cylisticidae includes small, oval-shaped terrestrial isopods commonly found under logs, stones, and leaf litter in temperate regions. These detritivores feed on decaying plant material and help in nutrient recycling. They possess a hard exoskeleton and are capable of rolling into a ball as a defense mechanism (conglobation). Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	woodlice	1	0	Cylisticidae includes small, oval-shaped terrestrial isopods commonly found under logs, stones, and leaf litter in temperate regions.

312	Paronellidae	family	Entomobryomorpha	Paronellidae is a family of large-bodied springtails found in tropical and subtropical leaf litter, moss, and decaying wood. They are active jumpers with prominent antennae and are primarily fungivores or detritivores. Their presence aids in decomposition and they are often used in studies of soil microfauna and forest floor biodiversity. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	Springtails	1	0	Paronellidae is a family of large-bodied springtails found in tropical and subtropical leaf litter, moss, and decaying wood.

313	Cytherideidae	family	Podocopida	Cytherideidae is a family of small, bivalved crustaceans known as ostracods, typically found in freshwater and brackish environments. These filter feeders inhabit sediments and play a role in nutrient cycling and aquatic food webs. Their hard shells preserve well in the fossil record, making them important in paleoenvironmental studies. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	Ostracods	1	0	Cytherideidae is a family of small, bivalved crustaceans known as ostracods, typically found in freshwater and brackish environments.

314	Cytheruridae	family	Podocopida	Cytheruridae is a family of benthic marine ostracods that dwell in seabed sediments from shallow to deep ocean zones. These tiny crustaceans are detritivores and micro-scavengers, contributing to benthic ecosystem processes. They have calcified carapaces and are often used in marine sediment and stratigraphic analyses. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	Ostracods	1	0	Cytheruridae is a family of benthic marine ostracods that dwell in seabed sediments from shallow to deep ocean zones.

315	Melanoblossiidae	family	Solifugae	Melanoblossiidae is a family of solifuges (camel spiders) found in arid and semi-arid regions of southern Africa. These nocturnal predators use strong chelicerae to subdue insect prey and exhibit fast, erratic movements. They are non-venomous but play a role in controlling insect populations in desert ecosystems. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	Solifuges	1	0	Melanoblossiidae is a family of solifuges (camel spiders) found in arid and semi-arid regions of southern Africa.

316	Demodicidae	family	Trombidiformes	Demodicidae is a family of microscopic mites that live in the hair follicles and sebaceous glands of mammals. Some species, such as *Demodex folliculorum*, are common symbionts or commensals of humans. They feed on skin oils and cellular debris and can cause skin disorders under certain conditions (e.g., demodicosis). Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	follicle mites	1	0	Demodicidae is a family of microscopic mites that live in the hair follicles and sebaceous glands of mammals.

317	Deroplatyidae	family	Mantodea	Deroplatyidae includes large, cryptic praying mantises known for their leaf-like appearance, aiding camouflage among forest vegetation. Native to Southeast Asia, they are ambush predators feeding on insects. They exhibit sexual dimorphism, slow stalking movements, and raptorial forelegs adapted for swift prey capture. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	dead leaf mantises	1	0	Deroplatyidae includes large, cryptic praying mantises known for their leaf-like appearance, aiding camouflage among forest vegetation.

318	Phalangiidae	family	Opiliones	A large family of harvestmen (Opiliones) distinguished by their small bodies and extremely long legs, common in temperate regions worldwide. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	harvestmen	11	0	A large family of harvestmen (Opiliones) distinguished by their small bodies and extremely long legs, common in temperate regions worldwide.

319	Pisauridae	family	Araneae	Also known as nursery web spiders, members of this family are notable for carrying their egg sacs in their jaws and building protective nurseries for their spiderlings. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	nursery web spiders	2	0	Also known as nursery web spiders, members of this family are notable for carrying their egg sacs in their jaws and building protective nurseries for their spiderlings.

320	Elenchidae	family	Strepsiptera	Elenchidae is a family of twisted-wing parasites (Strepsiptera) that infect a range of Hemiptera hosts. Males are free-living with reduced forewings and large eyes, while females remain endoparasitic within the host. These insects exhibit extreme sexual dimorphism and contribute to host regulation in insect communities. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	Twisted-wing parasites	1	0	Elenchidae is a family of twisted-wing parasites (Strepsiptera) that infect a range of Hemiptera hosts.

321	Eosentomidae	family	Protura	Eosentomidae is a family of minute, wingless hexapods in the order Protura, found in moist soil and leaf litter. These eyeless and antenna-less organisms use their forelegs as sensory structures. They feed on fungal hyphae and decaying organic material, aiding in decomposition and soil formation. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	eosentomids	1	0	Eosentomidae is a family of minute, wingless hexapods in the order Protura, found in moist soil and leaf litter.

322	Ephemeridae	family	Ephemeroptera	Ephemeridae is a family of large mayflies whose aquatic nymphs are burrowers in soft sediment of lakes and streams. They feed on detritus and algae, playing a role in nutrient cycling. Adults are ephemeral and non-feeding, emerging en masse for reproduction and serving as important prey for fish and birds. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	burrowing mayflies	2	0	Ephemeridae is a family of large mayflies whose aquatic nymphs are burrowers in soft sediment of lakes and streams.

323	Gyropidae	family	Phthiraptera	Gyropidae is a small family of parasitic copepods that infest the gills or skin of freshwater and marine fish. These ectoparasites feed on host tissue and fluids, potentially impacting fish health. They have modified appendages for attachment and are of interest in aquaculture and parasitology. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	guinea pig lice	1	0	Gyropidae is a small family of parasitic copepods that infest the gills or skin of freshwater and marine fish.

324	Glossosomatidae	family	Trichoptera	Glossosomatidae, known as saddle-case caddisflies, inhabit cold, fast-flowing streams where their larvae construct dome-shaped cases from sand and pebbles. These larvae are grazers of algae on submerged rocks and contribute to stream ecosystem function. Adults are short-lived and often found near water bodies. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	saddle-case maker caddisflies	1	0	Glossosomatidae, known as saddle-case caddisflies, inhabit cold, fast-flowing streams where their larvae construct dome-shaped cases from sand and pebbles.

325	Godzilliidae	family	Remipedia	A rare family of deep-sea crustaceans (remipedes) discovered in marine caves, characterized by their elongated bodies, lack of eyes, and ancient evolutionary lineage. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	remipedes	1	0	A rare family of deep-sea crustaceans (remipedes) discovered in marine caves, characterized by their elongated bodies, lack of eyes, and ancient evolutionary lineage.

326	Gryllotalpidae	family	Orthoptera	Gryllotalpidae, or mole crickets, are burrowing insects found in moist soils, grasslands, and agricultural fields. They have spade-like forelegs for digging and feed on roots, organic matter, and small invertebrates. While beneficial for soil aeration, some species can be pests to turf and crops. Males produce calls from underground chambers. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	mole crickets	1	0	Gryllotalpidae, or mole crickets, are burrowing insects found in moist soils, grasslands, and agricultural fields.

327	Hormuridae	family	Scorpiones	Hormuridae is a family of scorpions found in tropical Asia and the Pacific, often inhabiting leaf litter, soil, and under logs. These scorpions are nocturnal predators that feed on insects and other arthropods. They are generally non-aggressive and use their pedipalps and venomous sting for prey capture and defense. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	Rainforest scorpions	1	0	Hormuridae is a family of scorpions found in tropical Asia and the Pacific, often inhabiting leaf litter, soil, and under logs.

328	Hadruridae	family	Scorpiones	Hadruridae includes large, robust desert scorpions primarily found in arid regions of the southwestern United States and Mexico. Known for their strong exoskeletons and burrowing behavior, they are solitary predators feeding on insects and small vertebrates. Some species fluoresce under UV light and exhibit slow, deliberate movement. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	giant hairy scorpions	1	0	Hadruridae includes large, robust desert scorpions primarily found in arid regions of the southwestern United States and Mexico.

329	Haematopinidae	family	Phthiraptera	Haematopinidae is a family of obligate ectoparasitic lice that infest large mammals such as cattle, horses, and pigs. These wingless insects feed on blood using specialized mouthparts and are host-specific. They are important in veterinary health and may cause irritation, weight loss, or anemia in heavy infestations. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	ungulate lice	2	0	Haematopinidae is a family of obligate ectoparasitic lice that infest large mammals such as cattle, horses, and pigs.

330	Haplophtalmidae	family	Isopoda	Haplophtalmidae is a family of small, flattened woodlice found in moist forest litter and under stones in temperate and subtropical regions. These detritivores consume decaying organic material, contributing to soil formation. They are slow-moving and protected by a segmented exoskeleton that allows flexibility and partial conglobation. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	pygmy woodlice	1	0	Haplophtalmidae is a family of small, flattened woodlice found in moist forest litter and under stones in temperate and subtropical regions.

331	Phalangodidae	family	Opiliones	Phalangodidae is a family of small-bodied harvestmen (Opiliones) found in leaf litter, caves, and forest understory in North and Central America. These arachnids are detritivores and scavengers, feeding on decaying organic material and small invertebrates. They have compact bodies, long legs, and lack venom or silk glands. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	Harvestmen	1	0	Phalangodidae is a family of small-bodied harvestmen (Opiliones) found in leaf litter, caves, and forest understory in North and Central America.

332	Helicopsychidae	family	Trichoptera	Known as snail-case caddisflies, this family features larvae that build coiled, snail-like cases from sand grains, inhabiting clean, fast-moving streams. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	snail-case caddisflies	1	0	Known as snail-case caddisflies, this family features larvae that build coiled, snail-like cases from sand grains, inhabiting clean, fast-moving streams.

333	Heptageniidae	family	Ephemeroptera	Heptageniidae, commonly known as flatheaded mayflies, are a family of aquatic insects with nymphs adapted to cling to rocks in fast-flowing streams. These flattened larvae feed on algae and detritus and are important indicators of clean, well-oxygenated water. Adults are short-lived and non-feeding, emerging in synchronized hatches. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	flatheaded mayflies	1	0	Heptageniidae, commonly known as flatheaded mayflies, are a family of aquatic insects with nymphs adapted to cling to rocks in fast-flowing streams.

334	Hesperentomidae	family	Protura	Hesperentomidae is a family of tiny, wingless hexapods in the order Protura, found in moist soil and forest humus. These eyeless and antenna-less organisms use their forelegs for sensory functions. They feed on fungal hyphae and decomposing plant matter, contributing to soil nutrient cycles and microfauna communities. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	Proturans	1	0	Hesperentomidae is a family of tiny, wingless hexapods in the order Protura, found in moist soil and forest humus.

335	Boopiidae	family	Psocodea	Boopiidae is a family of parasitic lice specialized for marsupials, particularly in Australia and South America. These permanent ectoparasites live on their hosts' skin and feed on blood or skin debris. They are host-specific, lack wings, and show adaptations for clinging to fur, including strong claws and flattened bodies. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	Chewing lice	1	0	Boopiidae is a family of parasitic lice specialized for marsupials, particularly in Australia and South America.

336	Phrynidae	family	Amblypygi	Phrynidae is a family of tailless whip scorpions (Amblypygi) primarily found in tropical and subtropical forests. These nocturnal arachnids are harmless predators that use long, whip-like front legs to navigate and detect prey. They inhabit leaf litter, caves, and under logs, playing roles in controlling arthropod populations. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	tailless whip scorpions	9	0	Phrynidae is a family of tailless whip scorpions (Amblypygi) primarily found in tropical and subtropical forests.

